5000
       driver_id  start_time  end_time        lng        lat node_idgrid_id  \
4028         122           0     79200 -73.854697  40.867660            NaN   
880          123           0     79200 -73.899657  40.868558            NaN   
8203         124           0     79200 -73.892001  40.855549            NaN   
3593         125           0     79200 -74.040185  40.863799            NaN   
13492        126           0     79200 -74.023044  40.871946            NaN   
3191         127           0     79200 -74.064375  40.877300            NaN   
4541         128           0     79200 -74.026434  40.880891            NaN   
12565        129           0     79200 -74.023397  40.881479            NaN   
10516        130           0     79200 -74.053146  40.876573            NaN   
5532         131           0     79200 -74.077686  40.862474            NaN   
463          132           0     79200 -74.077437  40.877911            NaN   
4491         133           0     79200 -74.073461  40.877919            NaN   
3904         134           0     79200 -74.040305  40.868775            NaN   
9540         135           0     79200 -74.029317  40.874906            NaN   
2002         136           0     79200 -74.081499  40.852418            NaN   
17691        137           0     79200 -74.025074  40.881270            NaN   
13470        138           0     79200 -74.024263  40.875184            NaN   
4515         139           0     79200 -74.031061  40.870624            NaN   
11464        140           0     79200 -74.032171  40.869772            NaN   
16077        141           0     79200 -74.028626  40.878652            NaN   
17004        142           0     79200 -74.035231  40.859259            NaN   
2690         143           0     79200 -74.032278  40.854891            NaN   
17158        144           0     79200 -74.048393  40.854991            NaN   
3750         145           0     79200 -74.081304  40.857781            NaN   
1794         146           0     79200 -74.046485  40.870142            NaN   
4268         147           0     79200 -74.048403  40.852344            NaN   
12925        148           0     79200 -74.025902  40.851988            NaN   
17356        149           0     79200 -74.049243  40.855508            NaN   
9291         150           0     79200 -74.037859  40.862632            NaN   
18935        151           0     79200 -74.042445  40.874192            NaN   
19002        152           0     79200 -74.076102  40.856888            NaN   
674          153           0     79200 -74.069866  40.863818            NaN   
12403        154           0     79200 -74.047323  40.857481            NaN   
18560        155           0     79200 -74.065047  40.878769            NaN   
18404        156           0     79200 -74.053253  40.883100            NaN   
5233         157           0     79200 -73.980844  40.871559            NaN   
15274        158           0     79200 -74.004237  40.883362            NaN   
4230         159           0     79200 -73.980422  40.880772            NaN   
10097        160           0     79200 -74.018624  40.862520            NaN   
4518         161           0     79200 -74.002160  40.882692            NaN   
2050         162           0     79200 -73.976148  40.881668            NaN   
13938        163           0     79200 -74.016501  40.870416            NaN   
3605         164           0     79200 -74.016501  40.870416            NaN   
8461         165           0     79200 -74.007289  40.878744            NaN   
15080        166           0     79200 -73.981554  40.864671            NaN   
1326         167           0     79200 -74.001590  40.870228            NaN   
13807        168           0     79200 -73.972048  40.856338            NaN   
11256        169           0     79200 -74.010644  40.879020            NaN   
8299         170           0     79200 -74.014814  40.867972            NaN   
58           171           0     79200 -73.988979  40.882131            NaN   
5053         172           0     79200 -73.967795  40.867596            NaN   
3280         173           0     79200 -73.979536  40.882095            NaN   
19903        174           0     79200 -74.017881  40.865534            NaN   
6746         175           0     79200 -73.987453  40.872208            NaN   
5319         176           0     79200 -74.002166  40.851775            NaN   
1201         177           0     79200 -73.973559  40.857605            NaN   
14113        178           0     79200 -73.979362  40.851717            NaN   
8231         179           0     79200 -73.972411  40.858280            NaN   
12826        180           0     79200 -73.995383  40.865396            NaN   
1217         181           0     79200 -74.013079  40.880159            NaN   
2314         182           0     79200 -73.982753  40.865367            NaN   
11955        183           0     79200 -73.967164  40.864829            NaN   
10345        184           0     79200 -74.017674  40.854838            NaN   
19696        185           0     79200 -74.017304  40.875872            NaN   
7985         186           0     79200 -73.963027  40.883740            NaN   
10058        187           0     79200 -73.973559  40.857605            NaN   
14655        188           0     79200 -74.017866  40.854012            NaN   
17756        189           0     79200 -73.996177  40.863431            NaN   
19856        190           0     79200 -73.992414  40.855517            NaN   
10298        191           0     79200 -73.972023  40.875388            NaN   
18112        192           0     79200 -73.971196  40.874938            NaN   
18360        193           0     79200 -74.019645  40.877697            NaN   
8822         194           0     79200 -73.970300  40.858285            NaN   
4894         195           0     79200 -74.016749  40.857488            NaN   
15455        196           0     79200 -74.019404  40.860351            NaN   
17053        197           0     79200 -73.995650  40.862762            NaN   
8810         198           0     79200 -73.964850  40.853926            NaN   
16987        199           0     79200 -74.016323  40.852046            NaN   
10436        200           0     79200 -73.973024  40.868722            NaN   
7115         201           0     79200 -73.963273  40.854578            NaN   
11677        202           0     79200 -74.017654  40.865874            NaN   
2586         203           0     79200 -73.975470  40.852414            NaN   
5615         204           0     79200 -73.984724  40.867754            NaN   
623          205           0     79200 -73.999735  40.881696            NaN   
6264         206           0     79200 -74.019645  40.877697            NaN   
19870        207           0     79200 -74.006450  40.878485            NaN   
100          208           0     79200 -74.019739  40.877527            NaN   
14065        209           0     79200 -73.967336  40.852331            NaN   
3927         210           0     79200 -73.984577  40.856939            NaN   
17383        211           0     79200 -74.014870  40.860241            NaN   
13626        212           0     79200 -73.979387  40.882007            NaN   
6107         213           0     79200 -73.972536  40.870505            NaN   
9301         214           0     79200 -74.004237  40.883362            NaN   
6011         215           0     79200 -73.982178  40.879698            NaN   
8965         216           0     79200 -73.978075  40.865733            NaN   
15215        217           0     79200 -73.965920  40.864928            NaN   
14865        218           0     79200 -73.966471  40.859702            NaN   
4073         219           0     79200 -73.969047  40.852815            NaN   
18305        220           0     79200 -73.969091  40.864940            NaN   
10880        221           0     79200 -73.999778  40.874717            NaN   
12446        222           0     79200 -73.964390  40.867584            NaN   
12150        223           0     79200 -74.016319  40.879148            NaN   
3643         224           0     79200 -74.016123  40.884360            NaN   
14109        225           0     79200 -73.986180  40.864174            NaN   
4460         226           0     79200 -73.975863  40.868390            NaN   
891          227           0     79200 -73.978821  40.858404            NaN   
4030         228           0     79200 -74.005066  40.867047            NaN   
15488        229           0     79200 -73.977338  40.855326            NaN   
18367        230           0     79200 -74.017400  40.881951            NaN   
1320         231           0     79200 -73.999133  40.879308            NaN   
15207        232           0     79200 -73.972411  40.858280            NaN   
3993         233           0     79200 -74.008560  40.865894            NaN   
642          234           0     79200 -73.986814  40.862818            NaN   
13879        235           0     79200 -74.018671  40.852014            NaN   
18862        236           0     79200 -73.982552  40.875651            NaN   
2628         237           0     79200 -74.018465  40.879937            NaN   
1027         238           0     79200 -74.020219  40.876646            NaN   
4959         239           0     79200 -73.995383  40.865396            NaN   
12809        240           0     79200 -73.983762  40.859841            NaN   
17893        241           0     79200 -74.016561  40.883530            NaN   
16914        242           0     79200 -73.989385  40.873367            NaN   
14814        243           0     79200 -74.013079  40.880159            NaN   
16281        244           0     79200 -73.971410  40.863323            NaN   
7042         245           0     79200 -73.979292  40.855648            NaN   
3208         246           0     79200 -74.021435  40.853073            NaN   
10707        247           0     79200 -73.971045  40.867116            NaN   
1683         248           0     79200 -74.012184  40.874873            NaN   
11498        249           0     79200 -73.972653  40.856119            NaN   
16874        250           0     79200 -73.978426  40.858367            NaN   
19379        251           0     79200 -74.007434  40.880453            NaN   
2794         252           0     79200 -73.981450  40.878405            NaN   
6441         253           0     79200 -73.970433  40.878617            NaN   
9863         254           0     79200 -73.981800  40.863801            NaN   
9319         255           0     79200 -73.981372  40.855072            NaN   
9655         256           0     79200 -73.999980  40.881989            NaN   
17906        257           0     79200 -73.966425  40.854064            NaN   
11576        258           0     79200 -74.007096  40.877581            NaN   
16984        259           0     79200 -74.020852  40.860151            NaN   
7767         260           0     79200 -73.962333  40.868746            NaN   
7219         261           0     79200 -74.000659  40.876623            NaN   
17191        262           0     79200 -73.988712  40.851259            NaN   
9928         263           0     79200 -74.012419  40.877843            NaN   
16988        264           0     79200 -73.966292  40.864247            NaN   
13616        265           0     79200 -74.013228  40.855422            NaN   
16913        266           0     79200 -74.014570  40.868863            NaN   
3819         267           0     79200 -73.970762  40.854999            NaN   
19098        268           0     79200 -74.013275  40.879796            NaN   
6974         269           0     79200 -73.989319  40.862551            NaN   
1622         270           0     79200 -73.970408  40.877288            NaN   
701          271           0     79200 -73.966950  40.853743            NaN   
19466        272           0     79200 -73.999357  40.855120            NaN   
8550         273           0     79200 -73.997263  40.863846            NaN   
5013         274           0     79200 -73.968042  40.854307            NaN   
3801         275           0     79200 -73.965684  40.858414            NaN   
17128        276           0     79200 -74.014232  40.883488            NaN   
4235         277           0     79200 -73.964684  40.854055            NaN   
11274        278           0     79200 -73.992185  40.863108            NaN   
2668         279           0     79200 -73.983454  40.882928            NaN   
3790         280           0     79200 -74.016323  40.852046            NaN   
6365         281           0     79200 -73.988608  40.883417            NaN   
3395         282           0     79200 -74.013061  40.872306            NaN   
313          283           0     79200 -73.966431  40.866790            NaN   
3196         284           0     79200 -73.967596  40.862161            NaN   
16866        285           0     79200 -74.000070  40.883640            NaN   
16352        286           0     79200 -73.990957  40.861160            NaN   
8711         287           0     79200 -73.964122  40.870411            NaN   
153          288           0     79200 -73.964340  40.866504            NaN   
3966         289           0     79200 -73.964850  40.853926            NaN   
18107        290           0     79200 -74.015555  40.880528            NaN   
5632         291           0     79200 -73.975500  40.867920            NaN   
18954        292           0     79200 -73.983268  40.874515            NaN   
15865        293           0     79200 -74.019404  40.860351            NaN   
3204         294           0     79200 -73.987951  40.861739            NaN   
7800         295           0     79200 -74.022493  40.854667            NaN   
4984         296           0     79200 -73.987479  40.867143            NaN   
1875         297           0     79200 -73.995878  40.853122            NaN   
7937         298           0     79200 -74.003839  40.883232            NaN   
18282        299           0     79200 -74.006450  40.878485            NaN   
16578        300           0     79200 -74.000325  40.853738            NaN   
15743        301           0     79200 -74.021657  40.872048            NaN   
7503         302           0     79200 -73.988387  40.865967            NaN   
19226        303           0     79200 -73.973324  40.872529            NaN   
3059         304           0     79200 -73.975242  40.858913            NaN   
7743         305           0     79200 -73.979141  40.877846            NaN   
9659         306           0     79200 -74.013204  40.882530            NaN   
19504        307           0     79200 -73.983865  40.876293            NaN   
8707         308           0     79200 -74.019456  40.853941            NaN   
12991        309           0     79200 -73.978365  40.867428            NaN   
10876        310           0     79200 -74.017019  40.882701            NaN   
603          311           0     79200 -73.984361  40.859198            NaN   
11649        312           0     79200 -73.967799  40.870771            NaN   
11279        313           0     79200 -73.966357  40.880884            NaN   
14285        314           0     79200 -73.999283  40.872234            NaN   
3130         315           0     79200 -74.003041  40.872467            NaN   
11108        316           0     79200 -74.009332  40.881187            NaN   
12314        317           0     79200 -73.940301  40.854237            NaN   
12175        318           0     79200 -73.928046  40.866178            NaN   
11398        319           0     79200 -73.959128  40.862503            NaN   
14908        320           0     79200 -73.924849  40.861506            NaN   
18354        321           0     79200 -73.929436  40.862321            NaN   
17213        322           0     79200 -73.961859  40.869227            NaN   
18923        323           0     79200 -73.918615  40.852844            NaN   
8192         324           0     79200 -73.953408  40.881031            NaN   
9991         325           0     79200 -73.939236  40.851179            NaN   
2044         326           0     79200 -73.921777  40.852695            NaN   
2928         327           0     79200 -73.954474  40.880046            NaN   
9466         328           0     79200 -73.957707  40.861962            NaN   
4918         329           0     79200 -73.919849  40.863169            NaN   
862          330           0     79200 -73.956165  40.881143            NaN   
18968        331           0     79200 -73.906991  40.876686            NaN   
13288        332           0     79200 -73.947017  40.875856            NaN   
17394        333           0     79200 -73.908621  40.860040            NaN   
10657        334           0     79200 -73.909028  40.878979            NaN   
11438        335           0     79200 -73.929934  40.857372            NaN   
3861         336           0     79200 -73.909146  40.855544            NaN   
3243         337           0     79200 -73.905060  40.856406            NaN   
17795        338           0     79200 -73.960446  40.871844            NaN   
2508         339           0     79200 -73.957386  40.881156            NaN   
14014        340           0     79200 -73.919215  40.867275            NaN   
17465        341           0     79200 -73.912604  40.872241            NaN   
7304         342           0     79200 -73.927435  40.857168            NaN   
4089         343           0     79200 -73.908399  40.880819            NaN   
7204         344           0     79200 -73.917058  40.881286            NaN   
2322         345           0     79200 -73.927977  40.859545            NaN   
1521         346           0     79200 -73.913276  40.871714            NaN   
3799         347           0     79200 -73.918414  40.867584            NaN   
8872         348           0     79200 -73.927781  40.854976            NaN   
11078        349           0     79200 -73.920320  40.869001            NaN   
1776         350           0     79200 -73.907253  40.881981            NaN   
19383        351           0     79200 -73.939099  40.851531            NaN   
8660         352           0     79200 -73.920611  40.863121            NaN   
13583        353           0     79200 -73.918561  40.868482            NaN   
9030         354           0     79200 -73.911699  40.871051            NaN   
4272         355           0     79200 -73.915531  40.854227            NaN   
5110         356           0     79200 -73.910801  40.883607            NaN   
5600         357           0     79200 -73.955261  40.877567            NaN   
5324         358           0     79200 -73.915681  40.868889            NaN   
13544        359           0     79200 -73.910758  40.851941            NaN   
14660        360           0     79200 -73.932983  40.858113            NaN   
17169        361           0     79200 -73.957707  40.861962            NaN   
13888        362           0     79200 -73.956654  40.874912            NaN   
728          363           0     79200 -73.917060  40.863694            NaN   
2297         364           0     79200 -73.903309  40.884301            NaN   
15382        365           0     79200 -73.902531  40.864874            NaN   
7073         366           0     79200 -73.956428  40.872911            NaN   
18219        367           0     79200 -73.913278  40.861668            NaN   
14443        368           0     79200 -73.915373  40.881593            NaN   
961          369           0     79200 -73.947205  40.882599            NaN   
14133        370           0     79200 -73.958521  40.875997            NaN   
13103        371           0     79200 -73.939390  40.815997            NaN   
4389         372           0     79200 -73.969624  40.760253            NaN   
7092         373           0     79200 -74.081107  40.831197            NaN   
4725         374           0     79200 -73.853511  40.747513            NaN   
19891        375           0     79200 -73.963364  40.711236            NaN   
7222         376           0     79200 -73.889830  40.702549            NaN   
13769        377           0     79200 -73.885378  40.755558            NaN   
18791        378           0     79200 -73.862037  40.762373            NaN   
5892         379           0     79200 -73.964485  40.715739            NaN   
13138        380           0     79200 -73.987710  40.825578            NaN   
14005        381           0     79200 -74.052056  40.709965            NaN   
1728         382           0     79200 -73.981351  40.822811            NaN   
5268         383           0     79200 -73.990746  40.832284            NaN   
19687        384           0     79200 -74.047616  40.762076            NaN   
454          385           0     79200 -73.985963  40.824049            NaN   
1981         386           0     79200 -74.046059  40.727754            NaN   
9356         387           0     79200 -73.859822  40.723701            NaN   
5349         388           0     79200 -73.998100  40.847601            NaN   
11804        389           0     79200 -74.003077  40.728397            NaN   
11596        390           0     79200 -73.994103  40.710094            NaN   
8124         391           0     79200 -73.849016  40.759865            NaN   
19886        392           0     79200 -73.924510  40.747321            NaN   
14842        393           0     79200 -73.914239  40.714417            NaN   
10138        394           0     79200 -73.903400  40.755825            NaN   
13757        395           0     79200 -73.853829  40.754965            NaN   
14761        396           0     79200 -73.925061  40.765097            NaN   
17759        397           0     79200 -73.850082  40.716024            NaN   
15873        398           0     79200 -73.916748  40.711402            NaN   
898          399           0     79200 -73.916215  40.743042            NaN   
11526        400           0     79200 -74.009472  40.779104            NaN   
19171        401           0     79200 -74.058984  40.717012            NaN   
3969         402           0     79200 -73.986192  40.817731            NaN   
12045        403           0     79200 -73.945356  40.722965            NaN   
5915         404           0     79200 -73.995379  40.700309            NaN   
3355         405           0     79200 -73.856904  40.760388            NaN   
4698         406           0     79200 -73.921516  40.743333            NaN   
13557        407           0     79200 -73.866102  40.724247            NaN   
5913         408           0     79200 -74.078068  40.709379            NaN   
5397         409           0     79200 -74.007689  40.747747            NaN   
11891        410           0     79200 -73.991244  40.723807            NaN   
11837        411           0     79200 -73.956523  40.737362            NaN   
16439        412           0     79200 -73.871080  40.727846            NaN   
12242        413           0     79200 -73.900604  40.740846            NaN   
17559        414           0     79200 -74.082629  40.844614            NaN   
2533         415           0     79200 -73.909695  40.725450            NaN   
10083        416           0     79200 -73.874308  40.704473            NaN   
1836         417           0     79200 -73.882569  40.747778            NaN   
16336        418           0     79200 -73.916388  40.772988            NaN   
12873        419           0     79200 -74.051337  40.734668            NaN   
11069        420           0     79200 -73.971107  40.838704            NaN   
10098        421           0     79200 -74.052420  40.724944            NaN   
8074         422           0     79200 -74.055732  40.734299            NaN   
18767        423           0     79200 -74.005118  40.709409            NaN   
13134        424           0     79200 -73.964393  40.707056            NaN   
9799         425           0     79200 -74.075510  40.764238            NaN   
6308         426           0     79200 -73.989276  40.836875            NaN   
14438        427           0     79200 -73.907367  40.719061            NaN   
13487        428           0     79200 -73.962573  40.708535            NaN   
16211        429           0     79200 -74.060997  40.748621            NaN   
13758        430           0     79200 -73.953165  40.775924            NaN   
16741        431           0     79200 -73.890875  40.743106            NaN   
5838         432           0     79200 -73.965150  40.702663            NaN   
6935         433           0     79200 -74.043327  40.708020            NaN   
13167        434           0     79200 -73.979300  40.824255            NaN   
9693         435           0     79200 -73.917860  40.742513            NaN   
6361         436           0     79200 -73.844791  40.730557            NaN   
605          437           0     79200 -74.078988  40.710940            NaN   
9042         438           0     79200 -73.955051  40.714334            NaN   
6355         439           0     79200 -73.976783  40.746028            NaN   
19602        440           0     79200 -73.942527  40.740492            NaN   
4408         441           0     79200 -73.866209  40.740051            NaN   
17904        442           0     79200 -73.991433  40.803722            NaN   
12116        443           0     79200 -73.885489  40.734021            NaN   
6096         444           0     79200 -73.995244  40.757094            NaN   
8688         445           0     79200 -73.916869  40.754820            NaN   
18877        446           0     79200 -73.996476  40.723686            NaN   
17197        447           0     79200 -74.000854  40.813102            NaN   
18274        448           0     79200 -73.908131  40.762874            NaN   
10275        449           0     79200 -73.998081  40.814182            NaN   
2595         450           0     79200 -73.955074  40.704312            NaN   
18427        451           0     79200 -73.880910  40.767584            NaN   
3366         452           0     79200 -73.940022  40.757809            NaN   
13274        453           0     79200 -74.009126  40.778298            NaN   
12870        454           0     79200 -74.023916  40.750597            NaN   
12059        455           0     79200 -73.937363  40.729246            NaN   
7683         456           0     79200 -73.860320  40.723647            NaN   
7876         457           0     79200 -73.879200  40.725009            NaN   
9619         458           0     79200 -73.851790  40.727692            NaN   
16138        459           0     79200 -73.932022  40.753787            NaN   
82           460           0     79200 -73.884387  40.730275            NaN   
827          461           0     79200 -73.892309  40.762461            NaN   
7067         462           0     79200 -73.999634  40.753919            NaN   
9923         463           0     79200 -74.005741  40.789512            NaN   
17471        464           0     79200 -73.874533  40.729925            NaN   
4065         465           0     79200 -73.930576  40.714444            NaN   
14166        466           0     79200 -73.987187  40.850360            NaN   
18677        467           0     79200 -73.865352  40.768888            NaN   
38           468           0     79200 -73.873771  40.744548            NaN   
4076         469           0     79200 -74.058370  40.796090            NaN   
4141         470           0     79200 -73.984464  40.783187            NaN   
14336        471           0     79200 -74.054827  40.728760            NaN   
15461        472           0     79200 -73.902617  40.718618            NaN   
16377        473           0     79200 -73.944605  40.766904            NaN   
3881         474           0     79200 -73.948532  40.719168            NaN   
10619        475           0     79200 -73.841592  40.742196            NaN   
3235         476           0     79200 -73.958277  40.778911            NaN   
798          477           0     79200 -74.007099  40.724405            NaN   
18444        478           0     79200 -73.907439  40.716276            NaN   
19371        479           0     79200 -73.911030  40.773136            NaN   
12563        480           0     79200 -73.890922  40.739131            NaN   
10287        481           0     79200 -73.926365  40.714113            NaN   
16015        482           0     79200 -74.013108  40.849661            NaN   
6541         483           0     79200 -73.949942  40.772066            NaN   
12840        484           0     79200 -74.076848  40.784469            NaN   
10946        485           0     79200 -74.067570  40.832234            NaN   
5451         486           0     79200 -73.992663  40.724239            NaN   
5737         487           0     79200 -74.081962  40.759262            NaN   
16041        488           0     79200 -74.053594  40.823525            NaN   
2625         489           0     79200 -73.952854  40.714064            NaN   
9775         490           0     79200 -73.901497  40.740950            NaN   
4126         491           0     79200 -74.014864  40.709446            NaN   
3471         492           0     79200 -73.974513  40.749117            NaN   
19173        493           0     79200 -73.864593  40.722126            NaN   
17505        494           0     79200 -73.976244  40.765680            NaN   
4193         495           0     79200 -74.066232  40.777672            NaN   
5885         496           0     79200 -73.975410  40.749500            NaN   
16192        497           0     79200 -73.943680  40.720647            NaN   
15614        498           0     79200 -74.082476  40.711898            NaN   
8069         499           0     79200 -74.024700  40.846887            NaN   
8005         500           0     79200 -73.844701  40.721561            NaN   
12213        501           0     79200 -74.023342  40.843519            NaN   
16187        502           0     79200 -73.999443  40.841661            NaN   
9922         503           0     79200 -74.001637  40.761320            NaN   
3287         504           0     79200 -73.977594  40.714860            NaN   
16727        505           0     79200 -74.032567  40.762364            NaN   
15945        506           0     79200 -73.969418  40.835604            NaN   
12572        507           0     79200 -73.912996  40.769446            NaN   
6431         508           0     79200 -73.999149  40.751323            NaN   
744          509           0     79200 -74.004930  40.735297            NaN   
244          510           0     79200 -73.882588  40.725083            NaN   
9128         511           0     79200 -74.078712  40.850826            NaN   
17957        512           0     79200 -74.039067  40.716943            NaN   
1962         513           0     79200 -73.951969  40.731855            NaN   
5969         514           0     79200 -73.886528  40.706225            NaN   
17706        515           0     79200 -74.048201  40.729419            NaN   
19808        516           0     79200 -73.861629  40.743577            NaN   
10260        517           0     79200 -74.075309  40.705160            NaN   
15807        518           0     79200 -74.054982  40.714741            NaN   
12881        519           0     79200 -73.859872  40.711864            NaN   
12151        520           0     79200 -74.036969  40.729590            NaN   
17180        521           0     79200 -74.036205  40.779975            NaN   
16844        522           0     79200 -74.036297  40.778473            NaN   
5117         523           0     79200 -73.950402  40.753013            NaN   
18575        524           0     79200 -73.965040  40.848427            NaN   
5481         525           0     79200 -74.041213  40.775524            NaN   
12117        526           0     79200 -73.874908  40.709705            NaN   
16105        527           0     79200 -73.859501  40.740362            NaN   
15041        528           0     79200 -74.005304  40.740030            NaN   
5264         529           0     79200 -73.996049  40.810842            NaN   
3731         530           0     79200 -74.034244  40.779194            NaN   
12050        531           0     79200 -74.048907  40.760216            NaN   
1830         532           0     79200 -74.009317  40.724677            NaN   
11314        533           0     79200 -73.861362  40.753332            NaN   
3365         534           0     79200 -74.009448  40.821815            NaN   
16115        535           0     79200 -74.007718  40.793869            NaN   
11022        536           0     79200 -74.054541  40.787943            NaN   
